word,reviewed,unreviewed,rowwise_total,norm_reviewed,norm_unreviewed,norm_diff,norm_total
ladprao,36.0,33.0,69.0,0.7,1.34,-0.6400000000000001,0.91
bang,48.0,19.0,67.0,0.94,0.77,0.16999999999999993,0.88
convenient,40.0,27.0,67.0,0.78,1.1,-0.32000000000000006,0.88
hospital,50.0,17.0,67.0,0.98,0.69,0.29000000000000004,0.88
monthly,40.0,26.0,66.0,0.78,1.05,-0.27,0.87
green,40.0,26.0,66.0,0.78,1.05,-0.27,0.87
bd,46.0,19.0,65.0,0.9,0.77,0.13,0.86
two,36.0,28.0,64.0,0.7,1.14,-0.43999999999999995,0.84
executive,25.0,39.0,64.0,0.49,1.58,-1.09,0.84
suites,43.0,21.0,64.0,0.84,0.85,-0.010000000000000009,0.84
bunk,41.0,22.0,63.0,0.8,0.89,-0.08999999999999997,0.83
jj,51.0,11.0,62.0,1.0,0.45,0.55,0.82
female,31.0,31.0,62.0,0.61,1.26,-0.65,0.82
luxx,36.0,26.0,62.0,0.7,1.05,-0.3500000000000001,0.82
luxurious,49.0,12.0,61.0,0.96,0.49,0.47,0.8
penthouse,44.0,17.0,61.0,0.86,0.69,0.17000000000000004,0.8
f,47.0,13.0,60.0,0.92,0.53,0.39,0.79
friendly,39.0,21.0,60.0,0.76,0.85,-0.08999999999999997,0.79
phong,51.0,8.0,59.0,1.0,0.32,0.6799999999999999,0.78
poolgym,49.0,10.0,59.0,0.96,0.41,0.55,0.78
minutes,37.0,22.0,59.0,0.72,0.89,-0.17000000000000004,0.78
st,50.0,9.0,59.0,0.98,0.37,0.61,0.78
budget,50.0,9.0,59.0,0.98,0.37,0.61,0.78
lo,44.0,14.0,58.0,0.86,0.57,0.29000000000000004,0.76
super,44.0,14.0,58.0,0.86,0.57,0.29000000000000004,0.76
sathon,33.0,24.0,57.0,0.64,0.97,-0.32999999999999996,0.75
hyde,39.0,18.0,57.0,0.76,0.73,0.030000000000000027,0.75
townhouse,40.0,16.0,56.0,0.78,0.65,0.13,0.74
flat,31.0,25.0,56.0,0.61,1.01,-0.4,0.74
suit,54.0,1.0,55.0,1.05,0.04,1.01,0.72
guest,35.0,20.0,55.0,0.68,0.81,-0.13,0.72
long,32.0,23.0,55.0,0.62,0.93,-0.31000000000000005,0.72
triple,30.0,24.0,54.0,0.59,0.97,-0.38,0.71
platinum,46.0,7.0,53.0,0.9,0.28,0.62,0.7
xl,32.0,21.0,53.0,0.62,0.85,-0.22999999999999998,0.7
pplsurasak,52.0,1.0,53.0,1.02,0.04,0.98,0.7
newly,37.0,15.0,52.0,0.72,0.61,0.10999999999999999,0.69
sathornpool,50.0,1.0,51.0,0.98,0.04,0.94,0.67
khwang,31.0,20.0,51.0,0.61,0.81,-0.20000000000000007,0.67
prime,33.0,18.0,51.0,0.64,0.73,-0.08999999999999997,0.67
full,33.0,18.0,51.0,0.64,0.73,-0.08999999999999997,0.67
udomsuk,39.0,12.0,51.0,0.76,0.49,0.27,0.67
thonglo,41.0,10.0,51.0,0.8,0.41,0.39000000000000007,0.67
langsuan,30.0,21.0,51.0,0.59,0.85,-0.26,0.67
suvarnabhumi,26.0,25.0,51.0,0.51,1.01,-0.5,0.67
art,22.0,29.0,51.0,0.43,1.18,-0.75,0.67
tree,26.0,25.0,51.0,0.51,1.01,-0.5,0.67
top,40.0,10.0,50.0,0.78,0.41,0.37000000000000005,0.66
easy,34.0,16.0,50.0,0.66,0.65,0.010000000000000009,0.66
sleep,34.0,16.0,50.0,0.66,0.65,0.010000000000000009,0.66
infinity,38.0,11.0,49.0,0.74,0.45,0.29,0.65
plus,19.0,29.0,48.0,0.37,1.18,-0.8099999999999999,0.63
corner,30.0,18.0,48.0,0.59,0.73,-0.14,0.63
mbk,40.0,8.0,48.0,0.78,0.32,0.46,0.63
rooms,35.0,13.0,48.0,0.68,0.53,0.15000000000000002,0.63
bathtub,36.0,11.0,47.0,0.7,0.45,0.24999999999999994,0.62
homestay,22.0,25.0,47.0,0.43,1.01,-0.5800000000000001,0.62
pickup,40.0,7.0,47.0,0.78,0.28,0.5,0.62
lodge,22.0,25.0,47.0,0.43,1.01,-0.5800000000000001,0.62
stunning,32.0,14.0,46.0,0.62,0.57,0.050000000000000044,0.61
bb,38.0,8.0,46.0,0.74,0.32,0.42,0.61
airportlink,41.0,5.0,46.0,0.8,0.2,0.6000000000000001,0.61
design,28.0,18.0,46.0,0.55,0.73,-0.17999999999999994,0.61
comfort,33.0,13.0,46.0,0.64,0.53,0.10999999999999999,0.61
sirikit,28.0,18.0,46.0,0.55,0.73,-0.17999999999999994,0.61
icon,37.0,9.0,46.0,0.72,0.37,0.35,0.61
like,33.0,12.0,45.0,0.64,0.49,0.15000000000000002,0.59
phra,28.0,17.0,45.0,0.55,0.69,-0.1399999999999999,0.59
serviced,29.0,16.0,45.0,0.57,0.65,-0.08000000000000007,0.59
ploenchit,40.0,5.0,45.0,0.78,0.2,0.5800000000000001,0.59
shanti,20.0,24.0,44.0,0.39,0.97,-0.58,0.58
phromphong,36.0,8.0,44.0,0.7,0.32,0.37999999999999995,0.58
food,35.0,9.0,44.0,0.68,0.37,0.31000000000000005,0.58
renovated,39.0,5.0,44.0,0.76,0.2,0.56,0.58
nearby,30.0,13.0,43.0,0.59,0.53,0.05999999999999994,0.57
university,33.0,10.0,43.0,0.64,0.41,0.23000000000000004,0.57
huai,27.0,16.0,43.0,0.53,0.65,-0.12,0.57
world,37.0,5.0,42.0,0.72,0.2,0.52,0.55
saladaeng,41.0,0.0,41.0,0.8,0.0,0.8,0.54
riverside,27.0,14.0,41.0,0.53,0.57,-0.039999999999999925,0.54
price,31.0,9.0,40.0,0.61,0.37,0.24,0.53
minute,32.0,8.0,40.0,0.62,0.32,0.3,0.53
street,30.0,10.0,40.0,0.59,0.41,0.18,0.53
paragon,25.0,14.0,39.0,0.49,0.57,-0.07999999999999996,0.51
ideal,29.0,10.0,39.0,0.57,0.41,0.15999999999999998,0.51
person,21.0,18.0,39.0,0.41,0.73,-0.32,0.51
safe,25.0,14.0,39.0,0.49,0.57,-0.07999999999999996,0.51
mix,10.0,29.0,39.0,0.2,1.18,-0.98,0.51
vintage,25.0,14.0,39.0,0.49,0.57,-0.07999999999999996,0.51
chinatown,27.0,12.0,39.0,0.53,0.49,0.040000000000000036,0.51
ratchathewi,30.0,8.0,38.0,0.59,0.32,0.26999999999999996,0.5
maxvalu,37.0,1.0,38.0,0.72,0.04,0.6799999999999999,0.5
skyline,22.0,16.0,38.0,0.43,0.65,-0.22000000000000003,0.5
pick,33.0,5.0,38.0,0.64,0.2,0.44,0.5
bitec,32.0,6.0,38.0,0.62,0.24,0.38,0.5
sweet,21.0,17.0,38.0,0.41,0.69,-0.27999999999999997,0.5
isanook,31.0,7.0,38.0,0.61,0.28,0.32999999999999996,0.5
group,23.0,15.0,38.0,0.45,0.61,-0.15999999999999998,0.5
iconsiam,32.0,6.0,38.0,0.62,0.24,0.38,0.5
views,24.0,13.0,37.0,0.47,0.53,-0.06000000000000005,0.49
n,30.0,7.0,37.0,0.59,0.28,0.30999999999999994,0.49
q,14.0,23.0,37.0,0.27,0.93,-0.66,0.49
oasis,29.0,7.0,36.0,0.57,0.28,0.2899999999999999,0.47
stationsukhumvit,36.0,0.0,36.0,0.7,0.0,0.7,0.47
brp,35.0,1.0,36.0,0.68,0.04,0.64,0.47
relax,25.0,11.0,36.0,0.49,0.45,0.03999999999999998,0.47
nr,34.0,2.0,36.0,0.66,0.08,0.5800000000000001,0.47
sukumvit,22.0,13.0,35.0,0.43,0.53,-0.10000000000000003,0.46
l,24.0,11.0,35.0,0.47,0.45,0.019999999999999962,0.46
lux,27.0,8.0,35.0,0.53,0.32,0.21000000000000002,0.46
line,12.0,23.0,35.0,0.23,0.93,-0.7000000000000001,0.46
rame,30.0,5.0,35.0,0.59,0.2,0.38999999999999996,0.46
urban,21.0,14.0,35.0,0.41,0.57,-0.15999999999999998,0.46
wat,32.0,3.0,35.0,0.62,0.12,0.5,0.46
homey,27.0,7.0,34.0,0.53,0.28,0.25,0.45
supalai,11.0,23.0,34.0,0.21,0.93,-0.7200000000000001,0.45
p,27.0,7.0,34.0,0.53,0.28,0.25,0.45
ensuite,23.0,11.0,34.0,0.45,0.45,0.0,0.45
nanamrt,33.0,1.0,34.0,0.64,0.04,0.6,0.45
bright,26.0,8.0,34.0,0.51,0.32,0.19,0.45
facilities,28.0,6.0,34.0,0.55,0.24,0.31000000000000005,0.45
heritage,23.0,11.0,34.0,0.45,0.45,0.0,0.45
rm,26.0,7.0,33.0,0.51,0.28,0.22999999999999998,0.43
white,24.0,9.0,33.0,0.47,0.37,0.09999999999999998,0.43
mansion,5.0,28.0,33.0,0.1,1.14,-1.0399999999999998,0.43
metro,18.0,15.0,33.0,0.35,0.61,-0.26,0.43
persons,21.0,12.0,33.0,0.41,0.49,-0.08000000000000002,0.43
designer,28.0,5.0,33.0,0.55,0.2,0.35000000000000003,0.43
lady,11.0,22.0,33.0,0.21,0.89,-0.68,0.43
asokmrt,30.0,3.0,33.0,0.59,0.12,0.47,0.43
step,26.0,6.0,32.0,0.51,0.24,0.27,0.42
centre,23.0,9.0,32.0,0.45,0.37,0.08000000000000002,0.42
access,21.0,11.0,32.0,0.41,0.45,-0.040000000000000036,0.42
pp,28.0,4.0,32.0,0.55,0.16,0.39,0.42
gateway,27.0,5.0,32.0,0.53,0.2,0.33,0.42
