word,reviewed,unreviewed,rowwise_total,norm_reviewed,norm_unreviewed,norm_diff,norm_total
เลยบดวนรามอนทรา,1.0,0.0,1.0,0.02,0.0,0.02,0.01
up中文,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เลศอบลสกายไลนคอนโดมเนยม,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
upveryhighfloormin,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เสนา,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
uptp,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เสรสข,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
universitykmutt,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
unitsukhumvit,1.0,0.0,1.0,0.02,0.0,0.02,0.01
twobedfamily,1.0,0.0,1.0,0.02,0.0,0.02,0.01
และลานกวาง,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
และทางนำ,1.0,0.0,1.0,0.02,0.0,0.02,0.01
udomsuksukhumvit,1.0,0.0,1.0,0.02,0.0,0.02,0.01
และทาเรอ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
และทเรอ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
และฟตเนส,1.0,0.0,1.0,0.02,0.0,0.02,0.01
udelighttalad,1.0,0.0,1.0,0.02,0.0,0.02,0.01
และมความเปนสวนตว,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
udee,1.0,0.0,1.0,0.02,0.0,0.02,0.01
t舒适开间环楼泳池邦纳站,1.0,0.0,1.0,0.02,0.0,0.02,0.01
และสนามหญา,1.0,0.0,1.0,0.02,0.0,0.02,0.01
udon,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
t曼谷cbd富人区,1.0,0.0,1.0,0.02,0.0,0.02,0.01
t市中心豪华公寓顶层网红泳池特价优惠中,1.0,0.0,1.0,0.02,0.0,0.02,0.01
t商城无边泳池,1.0,0.0,1.0,0.02,0.0,0.02,0.01
แอท,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
แอร,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
แอรพอรต,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
twoperson,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
แอลพเอนววสระ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
twoohnine,1.0,0.0,1.0,0.02,0.0,0.02,0.01
udomuk,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
แลพ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เอออาทรปญญารามอนทรา,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
แดนพรรตน,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เอออาทรลาดกระบง,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เอเซ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เฮาส,1.0,0.0,1.0,0.02,0.0,0.02,0.01
united,1.0,0.0,1.0,0.02,0.0,0.02,0.01
unitbedroomsnear,1.0,0.0,1.0,0.02,0.0,0.02,0.01
unit_huamakram,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เฮาสโหมด,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เเกรนฟลอรดา,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
แจงวฒนะ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
แบงคอกแฟรช,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
uluxurygarden,1.0,0.0,1.0,0.02,0.0,0.02,0.01
unify,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
unico,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
แผนดนทองอพาทเมนต,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
แมรออท,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
uncle,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
แยกเกษตร,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
unblock,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
unbeatable,1.0,0.0,1.0,0.02,0.0,0.02,0.01
um,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เฟลซ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เพยงเดนแค,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เพชรบร,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เกษมศานต,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
อาคาร,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
อาพารทเมนท,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
vietnam,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
vienna,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ฮท,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
victorymonument,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เกรยเฮาส,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เกรสรม,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
vibrance,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
vibhavadeeพารควววภาวด,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
view_freewater_electricity_wifi,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เกาเกบ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เขตภาษเจรญ,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เขตหวยขวาง,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เขาออกสะดวกใกลเซเวน,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เคนซงตนเพลส,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เงยบ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เจมสเพลส,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เจรญกรง,1.0,0.0,1.0,0.02,0.0,0.02,0.01
verve,1.0,0.0,1.0,0.02,0.0,0.02,0.01
ออรจนพระราม,1.0,0.0,1.0,0.02,0.0,0.02,0.01
ออมน,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เปรมสรบตคพารคคอนโดมเนยม,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
อรณรง,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
viewmbpswifiicon,1.0,0.0,1.0,0.02,0.0,0.02,0.01
viewm,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
viewluxurious,1.0,0.0,1.0,0.02,0.0,0.02,0.01
อพารทเมนทแบบ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
อยสบาย,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
อยใกล,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
viewlocation,1.0,0.0,1.0,0.02,0.0,0.02,0.01
อยในถนนขาวสาร,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
viewhigh,1.0,0.0,1.0,0.02,0.0,0.02,0.01
viewgymkitchenbts,1.0,0.0,1.0,0.02,0.0,0.02,0.01
viewasiatiquesiam,1.0,0.0,1.0,0.02,0.0,0.02,0.01
viewgymbts,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
viewgreat,1.0,0.0,1.0,0.02,0.0,0.02,0.01
viewfully,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
อลเมนท,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
viewclose,1.0,0.0,1.0,0.02,0.0,0.02,0.01
viewchaopraya,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
viewbrand,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
viewbkce,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
viewbedroom,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เชอกบนบลเลยน,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
vertiq,1.0,0.0,1.0,0.02,0.0,0.02,0.01
vertical,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
valentina,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เดอะเทรนดคอนโด,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เตยงค,1.0,0.0,1.0,0.02,0.0,0.02,0.01
valueprime,1.0,0.0,1.0,0.02,0.0,0.02,0.01
valuephromphongwifi,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เตยงคในหองพกและหองนำในตว,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เตยงฟตในหองพก,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
valuebtswifi,1.0,0.0,1.0,0.02,0.0,0.02,0.01
valuable,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เตยงใหญ,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เทนเดอร,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เชา,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เทาเวอร,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
vacay,1.0,0.0,1.0,0.02,0.0,0.02,0.01
vacationjourney,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เนตเฮาส,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เบดแอนดเบรคฟาสท,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เปนอพารทเมนทขนาดใหญทพฒนาขนใหม,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
uyen,1.0,0.0,1.0,0.02,0.0,0.02,0.01
utilities,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เปรมสร,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เดอะเทรนด,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เดอะลกซ,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เดอะฟาคอนโดมเนยม,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เดอะพารคแลนด,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เชาคอนโดพรอมสระวายนำและลฟตสวนตวรายวน,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เชาตอเดอนcondo,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
venio,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
vellingtun,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เซนตหลยส,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
veijthani,1.0,0.0,1.0,0.02,0.0,0.02,0.01
vegetation,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
vegas,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เซยลา,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
various,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เซอรวส,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เดนทางสะดวกทงทางบก,1.0,0.0,1.0,0.02,0.0,0.02,0.01
vanvarothaisaladaeng,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เดอะทรออนนช,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
vanvarothai,1.0,0.0,1.0,0.02,0.0,0.02,0.01
เดอะนช,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
เดอะปารส,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
vankitchen,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
vanilla,1.0,0.0,1.0,0.02,0.0,0.02,0.01
แอสปายคอนโดสขมวท,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
โดยคณรนทร,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ton,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
两室一卫,1.0,0.0,1.0,0.02,0.0,0.02,0.01
townhomes,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
townhomenearbts,1.0,0.0,1.0,0.02,0.0,0.02,0.01
一房一厅公寓小区配套设施齐全,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
一房一厅户型快捷舒适,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
townhomebdrmrthualumpongstreet,1.0,0.0,1.0,0.02,0.0,0.02,0.01
一键医city,1.0,0.0,1.0,0.02,0.0,0.02,0.01
三万平森林轻氧公寓,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
两分钟走路到central,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
两卫,1.0,0.0,1.0,0.02,0.0,0.02,0.01
towngrand,1.0,0.0,1.0,0.02,0.0,0.02,0.01
townhouseentire,1.0,0.0,1.0,0.02,0.0,0.02,0.01
towneat,1.0,0.0,1.0,0.02,0.0,0.02,0.01
townbreakfast,1.0,0.0,1.0,0.02,0.0,0.02,0.01
两室两厅金属风轻奢高冷色调简约而不简单近火车夜市暹罗广场四面佛天轨地铁机场线旁,1.0,0.0,1.0,0.02,0.0,0.02,0.01
townasokbtsmrtbd,1.0,0.0,1.0,0.02,0.0,0.02,0.01
townaround,1.0,0.0,1.0,0.02,0.0,0.02,0.01
两房两卫m²,1.0,0.0,1.0,0.02,0.0,0.02,0.01
tower豪华bedroom,1.0,0.0,1.0,0.02,0.0,0.02,0.01
中国房东人美心善,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
中文房东毗邻rama地铁站抖音上的火车夜市商场中国大使馆家庭独立卫生间带阳台大房间,1.0,0.0,1.0,0.02,0.0,0.02,0.01
townhousectrlbkk,1.0,0.0,1.0,0.02,0.0,0.02,0.01
townhousenonsmoker,1.0,0.0,1.0,0.02,0.0,0.02,0.01
towersi,1.0,0.0,1.0,0.02,0.0,0.02,0.01
track,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
traincs,1.0,0.0,1.0,0.02,0.0,0.02,0.01
trainairport,1.0,0.0,1.0,0.02,0.0,0.02,0.01
ロングステイ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
traffic,1.0,0.0,1.0,0.02,0.0,0.02,0.01
一分鐘到捷運站,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
trad,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
一室一厅,1.0,0.0,1.0,0.02,0.0,0.02,0.01
一室一厅一厨一卫,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
一居,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
tpy,1.0,0.0,1.0,0.02,0.0,0.02,0.01
townhousetrain,1.0,0.0,1.0,0.02,0.0,0.02,0.01
tphouse,1.0,0.0,1.0,0.02,0.0,0.02,0.01
toydiamond,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
townwalk,1.0,0.0,1.0,0.02,0.0,0.02,0.01
townsilommbk,1.0,0.0,1.0,0.02,0.0,0.02,0.01
townsend,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
townno,1.0,0.0,1.0,0.02,0.0,0.02,0.01
一居室大房型,1.0,0.0,1.0,0.02,0.0,0.02,0.01
townnight,1.0,0.0,1.0,0.02,0.0,0.02,0.01
一年起租thb月,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
towersky,1.0,0.0,1.0,0.02,0.0,0.02,0.01
中文房东毗邻rama地铁站火车夜市centre商场中国大使馆空调立卫生间带阳台三人间,1.0,0.0,1.0,0.02,0.0,0.02,0.01
โพลส,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
tony,1.0,0.0,1.0,0.02,0.0,0.02,0.01
toss,1.0,0.0,1.0,0.02,0.0,0.02,0.01
云鼎公寓,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
五星公寓私人电梯,1.0,0.0,1.0,0.02,0.0,0.02,0.01
交汇,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
topbuttom,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
交汇站asokt火车夜市暹罗广场四面佛,1.0,0.0,1.0,0.02,0.0,0.02,0.01
交通便利生活配套齐全便利超市温馨之家,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
交通完善,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
交通枢纽,1.0,0.0,1.0,0.02,0.0,0.02,0.01
tons,1.0,0.0,1.0,0.02,0.0,0.02,0.01
二房二卫游泳池,1.0,0.0,1.0,0.02,0.0,0.02,0.01
tonight,1.0,0.0,1.0,0.02,0.0,0.02,0.01
tonglor通罗花园泳池接驳车wifi曼谷中心近商场bkv,1.0,0.0,1.0,0.02,0.0,0.02,0.01
仅长租cbd大三居rama拉玛九bedroombathroom,1.0,0.0,1.0,0.02,0.0,0.02,0.01
仅限长租,1.0,0.0,1.0,0.02,0.0,0.02,0.01
tonglo,1.0,0.0,1.0,0.02,0.0,0.02,0.01
代購一條街,1.0,0.0,1.0,0.02,0.0,0.02,0.01
代购一条街,1.0,0.0,1.0,0.02,0.0,0.02,0.01
代购按摩唐人街,1.0,0.0,1.0,0.02,0.0,0.02,0.01
代购按摩街自由行首选,1.0,0.0,1.0,0.02,0.0,0.02,0.01
tosubwaywifi,1.0,0.0,1.0,0.02,0.0,0.02,0.01
二卧室一客厅二卫生间大面积套房,1.0,0.0,1.0,0.02,0.0,0.02,0.01
中文房东毗邻rama地铁站火车夜市商场中国大使馆双人独立卫生间空调大床房,1.0,0.0,1.0,0.02,0.0,0.02,0.01
中文語,1.0,0.0,1.0,0.02,0.0,0.02,0.01
中文房东毗邻地铁站火车夜市商场中国大使馆双床房two,1.0,0.0,1.0,0.02,0.0,0.02,0.01
towersathornbts,1.0,0.0,1.0,0.02,0.0,0.02,0.01
中文房東月租年租,1.0,0.0,1.0,0.02,0.0,0.02,0.01
中文日本,1.0,0.0,1.0,0.02,0.0,0.02,0.01
中文沟通,1.0,0.0,1.0,0.02,0.0,0.02,0.01
中文溝通,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
中文溝通bangkok,1.0,0.0,1.0,0.02,0.0,0.02,0.01
tourbb,1.0,0.0,1.0,0.02,0.0,0.02,0.01
中文管家,1.0,0.0,1.0,0.02,0.0,0.02,0.01
中文語ok,1.0,0.0,1.0,0.02,0.0,0.02,0.01
tosurasak,1.0,0.0,1.0,0.02,0.0,0.02,0.01
中英泰三语房东,1.0,0.0,1.0,0.02,0.0,0.02,0.01
中英泰文都可溝通可入住到人入住時間下午,1.0,0.0,1.0,0.02,0.0,0.02,0.01
临近punawithi,1.0,0.0,1.0,0.02,0.0,0.02,0.01
临近四面佛,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
touching,1.0,0.0,1.0,0.02,0.0,0.02,0.01
临近暹罗中心對面有等超便利的新民宿,1.0,0.0,1.0,0.02,0.0,0.02,0.01
乍都周末市场含水电网费,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
total,1.0,0.0,1.0,0.02,0.0,0.02,0.01
乳胶双人房双轻轨地铁旁市中心,1.0,0.0,1.0,0.02,0.0,0.02,0.01
trainiconsiam,1.0,0.0,1.0,0.02,0.0,0.02,0.01
プールがある美しいコンドミニアム,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
trainluxurymallssaleviewrooftop,1.0,0.0,1.0,0.02,0.0,0.02,0.01
tswimming,1.0,0.0,1.0,0.02,0.0,0.02,0.01
tuition,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
โอเคเรสซเดนท,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
tubbts,1.0,0.0,1.0,0.02,0.0,0.02,0.01
tubbr,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
โฮมสเตย,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
โฮมสเตยบานมตรภาพ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
โฮมออฟฟศ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
โฮมเวลเนส,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
โฮสเทล,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
โฮเตล,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
โรงแรมเบยมน,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ใกลรถไฟฟาออนนช,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ใกลรถไฟฟาและคอมมนตมอลล,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ใกลสถานรถไฟฟาทาเรอถนนใหญ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ใกลสนามบนดอนเมองมาก,1.0,0.0,1.0,0.02,0.0,0.02,0.01
ใกลหาง,1.0,0.0,1.0,0.02,0.0,0.02,0.01
ใกลเซนทรลอสวลลนาท,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ใกลแหลงชอปปง,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ใกลแหลงบนเทง,1.0,0.0,1.0,0.02,0.0,0.02,0.01
tripbedroomwifibts,1.0,0.0,1.0,0.02,0.0,0.02,0.01
โรงแรมเอเชย,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
tukta,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
trainmallrooftop,1.0,0.0,1.0,0.02,0.0,0.02,0.01
โรงแรมซนซต,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
โมทฟ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
twinrooms,1.0,0.0,1.0,0.02,0.0,0.02,0.01
โมโน,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
twinny,1.0,0.0,1.0,0.02,0.0,0.02,0.01
โรงเเรมสวต,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
twindouble,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
twinbts,1.0,0.0,1.0,0.02,0.0,0.02,0.01
โรงเเรมอมรนทรา,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
โรงแรม,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
โรงแรมทเงยบสงบ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
โรงแรมเกอเธ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
twenty,1.0,0.0,1.0,0.02,0.0,0.02,0.01
โรงแรมฟอรจนา,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
tvery,1.0,0.0,1.0,0.02,0.0,0.02,0.01
tveasy,1.0,0.0,1.0,0.02,0.0,0.02,0.01
tvc,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
โรงแรมรมทะเล,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
tung,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
tulip,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
tuktukelephantbrandnewnana,1.0,0.0,1.0,0.02,0.0,0.02,0.01
trio,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ใกลแอรพอรตลงค,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
tribe,1.0,0.0,1.0,0.02,0.0,0.02,0.01
アソークコンド,1.0,0.0,1.0,0.02,0.0,0.02,0.01
ไอด,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ไอทเอฟสลมพาเลส,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
transforming,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ไอบยอนด,1.0,0.0,1.0,0.02,0.0,0.02,0.01
transferring,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ไฮฟ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ๆ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
①⑥,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
⑧爱马仕网红ins抖音打卡看湄南河夜景高楼iconsiam购物中心btsmin无边泳池健身房,1.0,0.0,1.0,0.02,0.0,0.02,0.01
ガモン病院から徒歩圏内で通院にも便利日本人におすすめのシェアハウス,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
treetop,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
trainswimming,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
trainsupermarket,1.0,0.0,1.0,0.02,0.0,0.02,0.01
サービスアパートメント,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
スクンビットbtsプロンポン駅近くの快適ロケーションで満喫bkkライフ,1.0,0.0,1.0,0.02,0.0,0.02,0.01
トンローエリア,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
trainnightmarketrama,1.0,0.0,1.0,0.02,0.0,0.02,0.01
バンコクの格安ゲストハウス,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
バンナー,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
プロンポン駅近くツインベッド,1.0,0.0,1.0,0.02,0.0,0.02,0.01
ไววลเลยคอนโด,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
tranz,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
trapezo,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
trav,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ใกลแอรพอรตลงหวหมาก,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ใกลโรงพยาบาล,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
treehaus,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ใจกลางกรงเทพ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ใจกลางสยาม,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
treasure,1.0,0.0,1.0,0.02,0.0,0.02,0.01
travelwork,1.0,0.0,1.0,0.02,0.0,0.02,0.01
ในชมชนทปลอดภย,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ใหบรการทพกใกล,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
traveller,1.0,0.0,1.0,0.02,0.0,0.02,0.01
ใหเชาfor,1.0,0.0,1.0,0.02,0.0,0.02,0.01
ใหเชาคอนโดลมพน,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
travelercat,1.0,0.0,1.0,0.02,0.0,0.02,0.01
ใหเชาทาวนเฮาส,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ไกลสนามบนดอนเมอง,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ไซมส,1.0,0.0,1.0,0.02,0.0,0.02,0.01
ไนบรด,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ไพรเวทโฮม,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
ไลฟ,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
room网红拉查达火车夜市无边泳池mrt温馨一房一厅,1.0,0.0,1.0,0.02,0.0,0.02,0.01
patty,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
roomツインベッド,1.0,0.0,1.0,0.02,0.0,0.02,0.01
crtlwld,1.0,0.0,1.0,0.02,0.0,0.02,0.01
dark,1.0,0.0,1.0,0.02,0.0,0.02,0.01
dararats,1.0,0.0,1.0,0.02,0.0,0.02,0.01
danmins,1.0,0.0,1.0,0.02,0.0,0.02,0.01
daisy,1.0,0.0,1.0,0.02,0.0,0.02,0.01
dahla,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
dads,1.0,0.0,1.0,0.02,0.0,0.02,0.01
c曼谷市中心公寓bts,1.0,0.0,1.0,0.02,0.0,0.02,0.01
c大都会c,1.0,0.0,1.0,0.02,0.0,0.02,0.01
c大都会,1.0,0.0,1.0,0.02,0.0,0.02,0.01
c中文nanaterminalno,1.0,0.0,1.0,0.02,0.0,0.02,0.01
cお部屋貸しsqm部屋名無料wifi徒歩分asok日本人歓迎,1.0,0.0,1.0,0.02,0.0,0.02,0.01
cycling,1.0,0.0,1.0,0.02,0.0,0.02,0.01
cv,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
cutecocoonbb,1.0,0.0,1.0,0.02,0.0,0.02,0.01
cut,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
cushy,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
curtain,0.0,1.0,1.0,0.0,0.04,-0.04,0.01
cumpus,1.0,0.0,1.0,0.02,0.0,0.02,0.01
culturalcenter,1.0,0.0,1.0,0.02,0.0,0.02,0.01
culdesac,1.0,0.0,1.0,0.02,0.0,0.02,0.01
ctwo,1.0,0.0,1.0,0.02,0.0,0.02,0.01
ctrlwd,1.0,0.0,1.0,0.02,0.0,0.02,0.01
